Date/Time,B1F_PUBLIC:Zone Mean Air Temperature [C](Hourly),B1F_PUBLIC:Zone Air Heat Balance Surface Convection Rate [W](Hourly),B1F_PUBLIC:Zone Air Heat Balance Air Energy Storage Rate [W](Hourly),B1F_RETAIL:Zone Mean Air Temperature [C](Hourly),B1F_RETAIL:Zone Air Heat Balance Surface Convection Rate [W](Hourly),B1F_RETAIL:Zone Air Heat Balance Air Energy Storage Rate [W](Hourly),B1F_PUBLIC:Zone Air Relative Humidity [%](Hourly),B1F_PUBLIC:Zone Air System Sensible Heating Energy [J](Hourly),B1F_PUBLIC:Zone Air System Sensible Cooling Energy [J](Hourly),B1F_PUBLIC:Zone Air System Sensible Heating Rate [W](Hourly),B1F_PUBLIC:Zone Air System Sensible Cooling Rate [W](Hourly),B1F_RETAIL:Zone Air Relative Humidity [%](Hourly),B1F_RETAIL:Zone Air System Sensible Heating Energy [J](Hourly),B1F_RETAIL:Zone Air System Sensible Cooling Energy [J](Hourly),B1F_RETAIL:Zone Air System Sensible Heating Rate [W](Hourly),B1F_RETAIL:Zone Air System Sensible Cooling Rate [W](Hourly) 
 01/01  11:00:00,14.585686924257523,829.819570052211,690.1093074432024,14.704415053192836,415.87443197329117,-9.335371813924269,56.94826214094709,0.0,0.0,0.0,0.0,56.512237692877335,0.0,0.0,0.0,0.0 
 01/01  12:00:00,15.158649694528773,2168.2282597458684,1996.8078558297943,14.908134696475088,4436.2416228613665,3914.379999473068,54.88909358437816,0.0,0.0,0.0,0.0,55.775984429098635,0.0,0.0,0.0,0.0 
 01/01  13:00:00,16.144683733227634,2732.8898711007123,2716.452306801518,15.41510543362244,7315.708427219129,6971.206636514726,51.53204442169858,0.0,0.0,0.0,0.0,53.988933281948654,0.0,0.0,0.0,0.0 
 01/01  14:00:00,17.22159108765932,3460.442768666966,3236.9516699908513,16.121344320678187,10735.183692068915,9907.089758274478,48.123546229758205,0.0,0.0,0.0,0.0,51.60380815703176,0.0,0.0,0.0,0.0 
 01/01  15:00:00,18.490478294923598,3411.1176049008236,3447.3110340551725,17.025662473223345,11714.764451315927,11727.11284262772,44.43198706953582,0.0,0.0,0.0,0.0,48.723314160455814,0.0,0.0,0.0,0.0 
 01/01  16:00:00,19.721649380401658,2847.461612405909,2929.910869729004,18.043160275346878,11754.502662058692,11780.163153798967,41.14337603307108,0.0,0.0,0.0,0.0,45.69123410243162,0.0,0.0,0.0,0.0 
 01/01  17:00:00,20.62463014212793,1675.0616090483097,1843.1617304815447,19.017745618087776,10375.438828499744,10653.845707622419,38.90257746582351,0.0,0.0,0.0,0.0,42.982923776136246,0.0,0.0,0.0,0.0 
 01/01  18:00:00,21.031834844073934,433.40168676777864,574.5281528232803,19.779296497675542,6949.397314594433,7426.099957681428,37.93708105347542,0.0,0.0,0.0,0.0,40.99014351454316,0.0,0.0,0.0,0.0 
 01/01  19:00:00,21.02921631243123,-360.3358032611177,-287.8320536241389,20.226959099372973,3441.0180599634928,3838.0665624505377,37.94313137547936,0.0,0.0,0.0,0.0,39.867245194606674,0.0,0.0,0.0,0.0 
 01/01  20:00:00,20.79548835621404,-790.8178584170336,-747.807149786528,20.403602412449462,737.5479893915274,1036.2115324242063,38.493050290502346,0.0,0.0,0.0,0.0,39.433875976463284,0.0,0.0,0.0,0.0 
 01/01  21:00:00,20.423646825855176,-1081.6829942154873,-1052.5324437678853,20.375393265838,-1273.1436850139908,-1056.8629169019787,39.386267241307785,0.0,0.0,0.0,0.0,39.50269027127695,0.0,0.0,0.0,0.0 
 01/01  22:00:00,19.970059209499688,-1200.5868333727976,-1195.5280910012768,20.20404501683382,-2549.6211543507707,-2417.1604924242993,40.50716164844177,0.0,0.0,0.0,0.0,39.923503905030124,0.0,0.0,0.0,0.0 
 01/01  23:00:00,19.48713108945777,-1313.0781131209906,-1282.1885998363593,19.92104514415844,-4027.928199476466,-3821.623603474362,41.74013124018309,0.0,0.0,0.0,0.0,40.62970740656007,0.0,0.0,0.0,0.0 
 01/01  24:00:00,18.91299444245228,-1592.3180150434514,-1571.6010803913623,19.509104716969112,-5345.32871800644,-5213.556761723088,43.26182703277197,0.0,0.0,0.0,0.0,41.68282719513479,0.0,0.0,0.0,0.0 
 01/02  01:00:00,18.27298117458826,-1681.9254225181828,-1671.5667131593573,19.00841427979845,-6081.412634120196,-6019.88210652973,45.02572095017797,0.0,0.0,0.0,0.0,42.99870559546409,0.0,0.0,0.0,0.0 
 01/02  02:00:00,17.641496925253783,-1502.7785464669819,-1545.8349294242096,18.461734229952285,-6476.656983401664,-6442.295148644078,46.8470313079234,0.0,0.0,0.0,0.0,44.49159525981763,0.0,0.0,0.0,0.0 
 01/02  03:00:00,17.097041650804332,-1307.7790504589052,-1329.7839086579547,17.891625451828506,-6631.701188504986,-6634.118616368794,48.48692448912329,0.0,0.0,0.0,0.0,46.11418632534465,0.0,0.0,0.0,0.0 
 01/02  04:00:00,16.62097634200813,-1151.1964349779246,-1170.2373774570442,17.331078753636795,-6219.406081951052,-6309.415692534249,49.97393235825372,0.0,0.0,0.0,0.0,47.77419631077742,0.0,0.0,0.0,0.0 
 01/02  05:00:00,16.205049114021023,-1001.3306734861436,-1018.351205476906,16.825488816176506,-5481.377376832239,-5578.440984354249,51.31510317944264,0.0,0.0,0.0,0.0,49.32893825602696,0.0,0.0,0.0,0.0 
 01/02  06:00:00,15.83025525504933,-949.0655496751928,-953.0974793759779,16.379385598615215,-4917.245730236302,-4976.38850520561,52.558600433710296,0.0,0.0,0.0,0.0,50.74817067967541,0.0,0.0,0.0,0.0 
 01/02  07:00:00,15.481130455103468,-848.4169472073404,-863.7155251138812,15.97686735605823,-4429.23157057507,-4495.314839313013,53.74728817729525,0.0,0.0,0.0,0.0,52.06822582733159,0.0,0.0,0.0,0.0 
 01/02  08:00:00,15.16337838231754,-814.1050781851507,-814.4797308904663,15.6138971251929,-4058.666921821997,-4094.044742751926,54.85559807264853,0.0,0.0,0.0,0.0,53.291765377023324,0.0,0.0,0.0,0.0 
 01/02  09:00:00,14.867116866906848,-677.2959493251351,-710.5116342713666,15.28024411316093,-3647.676942433318,-3726.054364870309,55.91187578001741,0.0,0.0,0.0,0.0,54.4449895497283,0.0,0.0,0.0,0.0 
 01/02  10:00:00,14.691978818461205,-171.50817313868447,-253.05252071895492,15.014400776547234,-2363.6776327174293,-2585.6016113791,56.5465396239074,0.0,0.0,0.0,0.0,55.38350889938884,0.0,0.0,0.0,0.0 
 01/02  11:00:00,14.774151049928927,662.6445407450378,537.5746438945948,14.908103537484639,86.5113051678004,-284.44504948353085,56.24807439702964,0.0,0.0,0.0,0.0,55.76365446062997,0.0,0.0,0.0,0.0 
 01/02  12:00:00,15.203116004659364,1457.9827274405814,1396.2847466941319,15.04826496994531,3094.4258809847584,2758.8457937734747,54.71780848298224,0.0,0.0,0.0,0.0,55.26318190982689,0.0,0.0,0.0,0.0 
 01/02  13:00:00,15.8102128060087,1647.1159677552614,1632.0409925327322,15.392316180128663,4633.850924736896,4537.440715780633,52.62861158405293,0.0,0.0,0.0,0.0,54.05506867597937,0.0,0.0,0.0,0.0 
 01/02  14:00:00,16.44838583329291,1582.2254795888375,1609.6554159676302,15.814073726864507,5214.500830575542,5118.978674410171,50.527380314958684,0.0,0.0,0.0,0.0,52.61366495231737,0.0,0.0,0.0,0.0 
 01/02  15:00:00,17.083713995012058,1863.6324496048937,1773.005348961951,16.30931977666543,6462.572969905203,6251.8769623332455,48.53009146481705,0.0,0.0,0.0,0.0,50.976445770505244,0.0,0.0,0.0,0.0 
 01/02  16:00:00,17.96498143547615,2685.191966927102,2583.5030146786903,16.947651066577745,8357.412287695237,8123.875498326755,45.907900996630616,0.0,0.0,0.0,0.0,48.95056748379805,0.0,0.0,0.0,0.0 
 01/02  17:00:00,19.010887131125862,2364.201657881587,2502.262479785836,17.70879374113477,8883.728505985366,8940.569677505684,42.99329441069695,0.0,0.0,0.0,0.0,46.65066621823725,0.0,0.0,0.0,0.0 
 01/02  18:00:00,19.6796283002381,1044.1737732783292,1204.8971730989037,18.414951817929214,7182.9577790864905,7462.7872981367545,41.235025903551545,0.0,0.0,0.0,0.0,44.62286170774978,0.0,0.0,0.0,0.0 
 01/02  19:00:00,19.8825114389336,65.93421116647448,164.73105878136502,18.925867952884204,4496.04304360126,4856.3125497680785,40.71803518210886,0.0,0.0,0.0,0.0,43.216806337286435,0.0,0.0,0.0,0.0 
 01/02  20:00:00,19.790550085847446,-466.2362650581442,-420.52342401174144,19.201379578714732,1959.2992049981947,2237.6008730269555,40.95116764170986,0.0,0.0,0.0,0.0,42.47933485862997,0.0,0.0,0.0,0.0 
 01/02  21:00:00,19.549567766466975,-738.0975058715824,-711.9929433552858,19.287237702028747,116.1948335188375,316.30778290817574,41.56898666634413,0.0,0.0,0.0,0.0,42.25248768584176,0.0,0.0,0.0,0.0 
 01/02  22:00:00,19.23176556443058,-866.2938935872871,-855.8580278859921,19.23910364757198,-1145.5873541494204,-1005.929627844214,42.399587014110736,0.0,0.0,0.0,0.0,42.37944735349437,0.0,0.0,0.0,0.0 
 01/02  23:00:00,18.839702552266598,-1187.2051057310657,-1133.754685695266,19.07644688042308,-2684.763052475239,-2469.616221511938,43.45056974244295,0.0,0.0,0.0,0.0,42.81175402338728,0.0,0.0,0.0,0.0 
 01/02  24:00:00,18.3243391481241,-1417.046258583485,-1400.6816050946563,18.778798799498315,-4088.2993805404903,-3941.8752495998656,44.876582161627,0.0,0.0,0.0,0.0,43.61566274381633,0.0,0.0,0.0,0.0 
 01/03  01:00:00,17.761199816684545,-1408.7762834730397,-1430.8704336499366,18.38049015533836,-5029.183912398948,-4933.850213415702,46.49726934488798,0.0,0.0,0.0,0.0,44.720629095576584,0.0,0.0,0.0,0.0 
 01/03  02:00:00,17.251687669677555,-1229.9721705097243,-1247.2744052494345,17.917557994628083,-5596.545230065613,-5548.339815506564,48.018934792682536,0.0,0.0,0.0,0.0,46.0427211768903,0.0,0.0,0.0,0.0 
 01/03  03:00:00,16.797661616584797,-1112.2135535848452,-1127.1509207840547,17.428999502464404,-5583.063995038003,-5625.480418476752,49.420708958891026,0.0,0.0,0.0,0.0,47.48357827281283,0.0,0.0,0.0,0.0 
 01/03  04:00:00,16.391132252389593,-986.0749500560743,-1001.8634224118614,16.964767126723988,-5132.96562563712,-5201.458765500463,50.71488857139798,0.0,0.0,0.0,0.0,48.89946133512493,0.0,0.0,0.0,0.0 
 01/03  05:00:00,16.026627070347843,-905.1968270377818,-913.654399159909,16.543257859929362,-4657.8697585987375,-4715.284043566927,51.90782498617119,0.0,0.0,0.0,0.0,50.22619829932198,0.0,0.0,0.0,0.0 
 01/03  06:00:00,15.693437536138864,-811.8851237143937,-826.0836673004385,16.161319418165426,-4208.608126916173,-4269.159173864939,53.02585118760848,0.0,0.0,0.0,0.0,51.46337973443411,0.0,0.0,0.0,0.0 
 01/03  07:00:00,15.400969262377119,-708.6414843462519,-719.5216413896935,15.820175035456643,-3730.5523652922484,-3789.782886271421,54.02951319055077,0.0,0.0,0.0,0.0,52.5973785278955,0.0,0.0,0.0,0.0 
 01/03  08:00:00,15.134636308155875,-685.4707689851675,-684.8795465254752,15.515136086603238,-3412.6080423242847,-3441.0839476900287,54.96223093506432,0.0,0.0,0.0,0.0,53.63522988598055,0.0,0.0,0.0,0.0 
 01/03  09:00:00,14.881331986383824,-584.7708924625435,-613.6855576510072,15.233047494698969,-3105.855418490124,-3167.986962962033,55.865977586380765,0.0,0.0,0.0,0.0,54.61550015055756,0.0,0.0,0.0,0.0 
 01/03  10:00:00,14.773762492103723,200.29822038559405,45.310552356564074,15.021442146620338,-1434.4057602317953,-1777.0024215000597,56.25442432673273,0.0,0.0,0.0,0.0,55.36359355873634,0.0,0.0,0.0,0.0 
 01/03  11:00:00,15.105082200780224,1441.6528915460058,1319.5084980049126,15.051302514725519,2237.7018650549817,1763.00560509345,55.06931506306245,0.0,0.0,0.0,0.0,55.257470455440455,0.0,0.0,0.0,0.0 
 01/03  12:00:00,15.75175758912062,1778.784323189679,1773.953187111104,15.362982149885013,4657.181055326695,4477.805050179921,52.83176718606356,0.0,0.0,0.0,0.0,54.162325823918636,0.0,0.0,0.0,0.0 
 01/03  13:00:00,16.455903175521392,1899.6835869863958,1863.8637439882345,15.804659552033288,5758.3484796566445,5557.736541496083,50.50956316119406,0.0,0.0,0.0,0.0,52.65094457299969,0.0,0.0,0.0,0.0 
 01/03  14:00:00,17.325357705524834,2628.4892684146607,2531.63263694472,16.408172012771605,8302.704734712333,7990.49075703599,47.80256762390889,0.0,0.0,0.0,0.0,50.663190301213135,0.0,0.0,0.0,0.0 
 01/03  15:00:00,18.3875878334101,2673.962362681323,2715.670443570856,17.175830234148073,9168.248631676794,9158.929191787633,44.70938497914098,0.0,0.0,0.0,0.0,48.25346539499379,0.0,0.0,0.0,0.0 
 01/03  16:00:00,19.306274427394044,2003.1374026814851,2090.3854891966193,17.953473954221657,8714.957985059013,8797.436308937078,42.2109804293353,0.0,0.0,0.0,0.0,45.94141667524455,0.0,0.0,0.0,0.0 
 01/03  17:00:00,19.95777834662069,1321.8004763408294,1408.334508657342,18.67175511284085,7764.29138401131,7914.02054916122,40.534337824361195,0.0,0.0,0.0,0.0,43.915517378465864,0.0,0.0,0.0,0.0 
 01/03  18:00:00,20.328504248826377,562.7501996267998,658.6473296985357,19.265830734766418,5762.484493975055,6056.505275238931,39.61363117179094,0.0,0.0,0.0,0.0,42.31484550187642,0.0,0.0,0.0,0.0 
 01/03  19:00:00,20.41425815304363,-95.11462600068859,-22.88588944708208,19.660689444050167,3312.2680022383674,3615.8659929149508,39.404048094938155,0.0,0.0,0.0,0.0,41.28702033368086,0.0,0.0,0.0,0.0 
 01/03  20:00:00,20.279350379036263,-558.379797410417,-511.3356349605765,19.85019568870169,1118.173974585443,1366.6290435710284,39.73414226238882,0.0,0.0,0.0,0.0,40.80377607399339,0.0,0.0,0.0,0.0 
 01/03  21:00:00,20.003493071778408,-818.1725998119359,-794.9865867486579,19.871502401142767,-537.8342814471816,-359.16605301365496,40.418564484142756,0.0,0.0,0.0,0.0,40.74985054161328,0.0,0.0,0.0,0.0 
 01/03  22:00:00,19.652597405469873,-959.0248268309404,-945.9795488531763,19.771726850069477,-1659.5701890353168,-1549.9848409350534,41.30818170998137,0.0,0.0,0.0,0.0,41.00296528800294,0.0,0.0,0.0,0.0 
 01/03  23:00:00,19.261318017869307,-1059.8060486964573,-1038.811142273827,19.579435917350317,-2855.553440774536,-2671.759256887608,42.326139958716965,0.0,0.0,0.0,0.0,41.49581044179176,0.0,0.0,0.0,0.0 
 01/03  24:00:00,18.796534896970297,-1309.71672558402,-1285.3065185664834,19.273091706356112,-4124.143772441007,-3990.0091241922455,43.572618301583006,0.0,0.0,0.0,0.0,42.294821424171985,0.0,0.0,0.0,0.0 
 01/04  01:00:00,18.257153769168298,-1451.1669734840157,-1434.2149083119905,18.8748386537909,-4977.128907117737,-4890.773712871784,45.02627822821582,0.0,0.0,0.0,0.0,43.316553443729134,0.0,0.0,0.0,0.0 
 01/04  02:00:00,17.70116959557685,-1330.5024882583452,-1368.7205762783228,18.418603692018188,-5460.196767942846,-5422.496200591881,46.60162148726421,0.0,0.0,0.0,0.0,44.54558787863548,0.0,0.0,0.0,0.0 
 01/04  03:00:00,17.224358623368314,-1139.4349320256274,-1157.0545809122411,17.934858782843843,-5654.596074814353,-5643.937557790227,48.0261355206392,0.0,0.0,0.0,0.0,45.920310656479074,0.0,0.0,0.0,0.0 
 01/04  04:00:00,16.807721373921424,-1009.5826881727961,-1024.6211529636275,17.451632856562053,-5402.804539164974,-5468.69856065292,49.3111843653835,0.0,0.0,0.0,0.0,47.34102515877232,0.0,0.0,0.0,0.0 
 01/04  05:00:00,16.4316846122018,-937.7239035163144,-944.2515218278141,17.005082796218044,-4928.701555666545,-4987.069795507648,50.50438223048186,0.0,0.0,0.0,0.0,48.69777103392238,0.0,0.0,0.0,0.0 
 01/04  06:00:00,16.077567959667338,-892.2296206598526,-897.1995073013751,16.596782557561426,-4543.936475963864,-4588.658567352833,51.65779520754647,0.0,0.0,0.0,0.0,49.97667265272143,0.0,0.0,0.0,0.0 
 01/04  07:00:00,15.733991606250516,-888.3312764930583,-887.6572682957274,16.21604113190851,-4314.178712516748,-4336.187161426684,52.805314046960106,0.0,0.0,0.0,0.0,51.20340844741797,0.0,0.0,0.0,0.0 
 01/04  08:00:00,15.394807439486765,-847.0815451459132,-859.2593460839523,15.851495323018039,-4131.461398115082,-4164.184020013456,53.9662088253532,0.0,0.0,0.0,0.0,52.409749582946674,0.0,0.0,0.0,0.0 
 01/04  09:00:00,15.108335495262796,-593.3179431213496,-638.5560634953396,15.517647007661273,-3518.1357314599304,-3632.975813846162,54.96856437097219,0.0,0.0,0.0,0.0,53.5423126147299,0.0,0.0,0.0,0.0 
 01/04  10:00:00,14.964961884176736,-114.67083473682465,-185.31158151922568,15.268830047724922,-2138.4921257571114,-2353.6670809144052,55.47781771344239,0.0,0.0,0.0,0.0,54.403963104548325,0.0,0.0,0.0,0.0 
 01/04  11:00:00,15.054925574787642,651.7855662138229,532.1448028874465,15.17567029417231,152.30787700946064,-193.71846194781745,55.157946647765186,0.0,0.0,0.0,0.0,54.73044979368491,0.0,0.0,0.0,0.0 
 01/04  12:00:00,15.513514354694319,1722.7173506389677,1591.400699671627,15.325191886197068,3398.345790468479,2978.8054764958915,53.55993176161509,0.0,0.0,0.0,0.0,54.207810394643154,0.0,0.0,0.0,0.0 
 01/04  13:00:00,16.31360905276572,2255.3715108978186,2231.25425564307,15.727589707684668,5838.86794545291,5557.204008745126,50.89146354378728,0.0,0.0,0.0,0.0,52.82821002614088,0.0,0.0,0.0,0.0 
 01/04  14:00:00,17.295688804599777,3113.4323492481417,2962.545020044462,16.351557044940698,9162.203218468016,8723.332472567206,47.81874524802184,0.0,0.0,0.0,0.0,50.76648847804749,0.0,0.0,0.0,0.0 
 01/04  15:00:00,18.65120571404733,3839.801713801733,3850.4333663299676,17.233541129197558,11817.278862415285,11721.666406795164,43.917508139485705,0.0,0.0,0.0,0.0,48.00586587122982,0.0,0.0,0.0,0.0 
 01/04  16:00:00,20.000029341970368,2951.8204263310354,3048.6682512376265,18.287537753762923,12253.31722551206,12268.79366339006,40.372338233577416,0.0,0.0,0.0,0.0,44.92065995684739,0.0,0.0,0.0,0.0 
 01/04  17:00:00,20.920381550554808,1681.8713254538948,1856.8439700263275,19.300950856489287,10642.508759020351,10976.310216838765,38.13672427965483,0.0,0.0,0.0,0.0,42.16037966185401,0.0,0.0,0.0,0.0 
 01/04  18:00:00,21.3123102048679,340.5522297990892,494.9021428043294,20.073261782979877,6872.221050017802,7393.8443984511505,37.22711744200798,0.0,0.0,0.0,0.0,40.18276726128328,0.0,0.0,0.0,0.0 
 01/04  19:00:00,21.258232633421127,-513.600045592189,-438.697773925565,20.50118366599816,3065.7413707913174,3490.7114774340453,37.35094019300642,0.0,0.0,0.0,0.0,39.13200543166896,0.0,0.0,0.0,0.0 
 01/04  20:00:00,20.969974259508746,-896.5850463521535,-863.8205676747731,20.641430861289766,312.3441772117022,604.5481089346769,38.01858182796635,0.0,0.0,0.0,0.0,38.79454146059834,0.0,0.0,0.0,0.0 
 01/04  21:00:00,20.56997474307936,-1116.9243886524928,-1095.7782988046465,20.58024902770277,-1584.6688205059456,-1386.9791762028044,38.967091019689406,0.0,0.0,0.0,0.0,38.94127324846627,0.0,0.0,0.0,0.0 
 01/04  22:00:00,20.114386573985268,-1170.7077526004548,-1173.6332860568234,20.38802491074678,-2679.316798920165,-2582.905901121835,40.07959553073564,0.0,0.0,0.0,0.0,39.40621068948653,0.0,0.0,0.0,0.0 
 01/04  23:00:00,19.662307053459564,-1125.1083376488666,-1132.8571018035557,20.113453270256706,-3653.9850804820508,-3516.725827037015,41.218717637098706,0.0,0.0,0.0,0.0,40.08116531366327,0.0,0.0,0.0,0.0 
 01/04  24:00:00,19.20930347278555,-1213.569972811899,-1195.297275528407,19.75525314738659,-4481.045333013886,-4403.95033636092,42.39717464444052,0.0,0.0,0.0,0.0,40.981266062592894,0.0,0.0,0.0,0.0 
 01/05  01:00:00,18.722413124386694,-1252.5852525975915,-1254.913185486457,19.343458798967944,-4896.612976642076,-4865.2285097870945,43.63048116674712,0.0,0.0,0.0,0.0,41.97135666606887,0.0,0.0,0.0,0.0 
 01/05  02:00:00,18.246054320265117,-1162.7270576424607,-1179.2923307255733,18.91378805264793,-4870.910703420841,-4901.398849126532,44.906248509476306,0.0,0.0,0.0,0.0,43.06680602729293,0.0,0.0,0.0,0.0 
 01/05  03:00:00,17.83329474363409,-922.2555825590069,-960.1265426151567,18.503227740515392,-4523.776113046489,-4575.374741436593,46.086637319101655,0.0,0.0,0.0,0.0,44.187221845521094,0.0,0.0,0.0,0.0 
 01/05  04:00:00,17.50897538572155,-766.9215563759763,-778.0957130697423,18.123731337178697,-4216.367954852808,-4249.936568999423,47.038755484579596,0.0,0.0,0.0,0.0,45.25209176395961,0.0,0.0,0.0,0.0 
 01/05  05:00:00,17.232791100951008,-641.0749342869776,-659.5798577534555,17.769624140607558,-3888.1972496126623,-3946.1987697097425,47.867064470705174,0.0,0.0,0.0,0.0,46.27177981379202,0.0,0.0,0.0,0.0 
 01/05  06:00:00,17.007128998229398,-533.3649716415957,-540.7395973939101,17.456999663789375,-3305.852475581986,-3378.4915870436953,48.55603738258863,0.0,0.0,0.0,0.0,47.193381303789224,0.0,0.0,0.0,0.0 
 01/05  07:00:00,16.792110601219207,-594.6838314450083,-580.5763341868899,17.185450331091424,-3032.136588966729,-3042.9655811682774,49.22315178734859,0.0,0.0,0.0,0.0,48.01077459784251,0.0,0.0,0.0,0.0 
 01/05  08:00:00,16.549555343809327,-626.1272895762646,-631.2586231235427,16.924067819614002,-2995.4729430867956,-3005.0408328972894,49.98803021369327,0.0,0.0,0.0,0.0,48.812709690676456,0.0,0.0,0.0,0.0 
 01/05  09:00:00,16.336748179971963,-423.0560665175291,-462.5173185195782,16.677790567608767,-2588.5899164841903,-2674.659539898266,50.66976090586493,0.0,0.0,0.0,0.0,49.58194885362168,0.0,0.0,0.0,0.0 
 01/05  10:00:00,16.246513814533973,-10.598942620339017,-71.80937814911312,16.496208926648617,-1491.060753915479,-1665.5821710615428,50.96185123689182,0.0,0.0,0.0,0.0,50.157643126554106,0.0,0.0,0.0,0.0 
